# Time-averaged data for fix write_all_momentum
# TimeStep Number-of-rows
# Row c_all_momentum[*]
0 3
1 1.77635683940025e-14
2 9.769962616701378e-15
3 -1.243449787580175e-14
20 3
1 6.56623200256945e-10
2 -4.64142502210052e-10
3 -2.56447307833696e-09
40 3
1 3.725855179936843e-09
2 -7.611408392449448e-09
3 -3.158735317754235e-08
60 3
1 4.413095666677691e-09
2 -2.479567307034358e-08
3 -1.125105510979552e-07
80 3
1 -5.353770760052612e-09
2 -5.389542767630928e-08
3 -2.872801481146325e-07
100 3
1 -1.179126662975705e-08
2 -1.651093297638795e-07
3 -7.33378991313316e-07
120 3
1 -1.082481944081337e-07
2 -5.695053086895996e-07
3 -2.125157449128778e-06
140 3
1 -2.208816560766991e-07
2 -1.418141482467661e-06
3 -5.29919412883828e-06
160 3
1 -1.0136576023001e-08
2 -2.776915854596496e-06
3 -1.067392149778357e-05
180 3
1 4.134293316582216e-07
2 -5.030261446492545e-06
3 -1.83714379664579e-05
200 3
1 4.06303094280247e-07
2 -9.091559082463618e-06
3 -2.81816037164262e-05
220 3
1 -5.59172775638217e-07
2 -1.569891453812033e-05
3 -4.015008993540903e-05
240 3
1 -2.431889331688808e-06
2 -2.373010590872582e-05
3 -5.330106276790758e-05
260 3
1 -4.327310879403967e-06
2 -3.106878132452806e-05
3 -6.447670115505844e-05
280 3
1 -5.591017739448034e-06
2 -3.601167293609819e-05
3 -7.132818362798332e-05
300 3
1 -5.807232344778868e-06
2 -3.688950415892123e-05
3 -7.245954975143576e-05
320 3
1 -4.572716779449593e-06
2 -3.169990635853992e-05
3 -6.764359021005362e-05
340 3
1 -1.801446293470121e-06
2 -1.964567117695992e-05
3 -5.758635199182294e-05
360 3
1 2.00306382858173e-06
2 -1.379553359548424e-06
3 -4.275653334673279e-05
380 3
1 5.198048087962093e-06
2 2.131660357562737e-05
3 -2.481168106527321e-05
400 3
1 6.957255516581995e-06
2 4.883549641299112e-05
3 -6.733223377963782e-06
420 3
1 9.415643454246947e-06
