# Time-averaged data for fix write_all_momentum
# TimeStep Number-of-rows
# Row c_all_momentum[*]
0 3
1 7.10543e-15
2 3.55271e-15
3 1.06581e-14
50 3
1 0.0111699
2 -0.00119644
3 -0.0115759
100 3
1 0.0456252
2 0.00426674
3 -0.0539012
150 3
1 0.0477114
2 0.00781866
3 -0.0555769
200 3
1 0.0150859
2 0.00567421
3 -0.0219489
250 3
1 -0.00161385
2 -0.000580489
3 6.5499e-05
300 3
1 0.00594193
2 -0.00209043
3 -0.00814481
350 3
1 0.043067
2 0.00319157
3 -0.0522001
400 3
1 0.046869
2 0.0070536
3 -0.0560075
450 3
1 0.0193103
2 0.00562015
3 -0.0277456
500 3
1 -0.000841223
2 -0.000761277
3 -0.0010803
550 3
1 0.00387424
2 -0.00246498
3 -0.00658795
600 3
1 0.0425941
2 0.00298411
3 -0.0506904
650 3
1 0.0479808
2 0.00723656
3 -0.0570543
700 3
1 0.0245315
2 0.00655804
3 -0.0330171
750 3
1 -9.451e-05
2 0.000134118
3 -0.00138747
800 3
1 0.00230702
2 -0.00163692
3 -0.00491813
850 3
1 0.0415573
2 0.00296273
3 -0.0483014
900 3
1 0.0492674
2 0.00742905
3 -0.0579283
950 3
1 0.0307861
2 0.00696199
3 -0.0386894
1000 3
1 0.00291288
2 0.000631941
3 -0.00285493
1050 3
1 0.00367486
2 -0.0014376
3 -0.00465944
1100 3
1 0.0421112
2 0.00257875
3 -0.0454206
1150 3
1 0.0531613
2 0.00738332
3 -0.0585639
1200 3
1 0.0389963
2 0.0070525
3 -0.043164
1250 3
1 0.00645363
2 0.000410967
3 -0.00258775
1300 3
1 0.00383252
2 -0.00132742
3 -0.00284522
1350 3
1 0.0357313
2 0.00280371
3 -0.0407891
1400 3
1 0.0460692
2 0.0101527
3 -0.0592959
1450 3
1 0.0335893
2 0.01152
3 -0.0484258
1500 3
1 0.000924553
2 0.00414998
3 -0.0053307
1550 3
1 0.00439371
2 -0.00260422
3 -0.00182998
1600 3
1 0.042542
2 -0.00426164
3 -0.0331074
1650 3
1 0.062026
2 0.000889428
3 -0.0548413
1700 3
1 0.0517932
2 0.00365715
3 -0.047511
1750 3
1 0.00800016
2 0.00237781
3 -0.005364
1800 3
1 -0.00261443
2 0.00271443
3 -0.00332915
1850 3
1 0.0226284
2 0.00395052
3 -0.0321965
1900 3
1 0.0450517
2 0.00858172
3 -0.0585615
1950 3
1 0.0438406
2 0.00713507
3 -0.0517274
2000 3
1 0.00991798
2 -0.00201199
3 -0.0058802
2050 3
1 0.00624831
2 -0.00910024
3 0.00160851
2100 3
1 0.0289832
2 -0.00981306
3 -0.0219594
2150 3
1 0.0516411
2 -0.000724728
3 -0.054452
2200 3
1 0.0430981
2 0.00857375
3 -0.0537425
2250 3
1 -0.00404683
2 0.0151169
3 -0.0148977
2300 3
1 -0.0168006
2 0.0150688
3 -0.00728904
2350 3
1 0.00563595
2 0.00921339
3 -0.0253309
2400 3
1 0.0462728
2 0.00394642
3 -0.05705
2450 3
1 0.054395
2 -0.00193219
3 -0.0527936
2500 3
1 0.0204656
2 -0.00639386
3 -0.0111975
2550 3
1 0.00760908
2 -0.0095701
3 0.00072466
2600 3
1 0.0170336
2 -0.00580397
3 -0.0160765
2650 3
1 0.0442399
2 0.00672107
3 -0.0571043
2700 3
1 0.0423563
2 0.0123546
3 -0.0583808
2750 3
1 0.0080766
2 0.0113163
3 -0.0211863
2800 3
1 -0.00173196
2 0.002889
3 -0.00256921
2850 3
1 0.0197066
2 -0.00391758
3 -0.0089786
2900 3
1 0.0634613
2 5.52939e-05
3 -0.0478024
2950 3
1 0.0661309
2 0.00354671
3 -0.0496032
3000 3
1 0.0278392
2 0.00512774
3 -0.0199514
3050 3
1 0.000814227
2 0.00159259
3 -0.001854
3100 3
1 0.00280324
2 0.0014974
3 -0.0112009
3150 3
1 0.0384648
2 0.00804179
3 -0.0557062
3200 3
1 0.0446117
2 0.0111007
3 -0.0589049
3250 3
1 0.0209112
2 0.00822681
3 -0.029209
3300 3
1 0.00366589
2 -0.000977767
3 0.000434167
3350 3
1 0.0117717
2 -0.00486096
3 -0.00243152
3400 3
1 0.0514611
2 0.000329556
3 -0.0453073
3450 3
1 0.0541226
2 0.00588962
3 -0.0536492
3500 3
1 0.0208375
2 0.0099926
3 -0.0366038
3550 3
1 -0.0137792
2 0.00605829
3 -0.00891479
3600 3
1 -0.014598
2 0.00426772
3 -0.0131407
3650 3
1 0.0292944
2 0.00779295
3 -0.0522499
3700 3
1 0.0491357
2 0.0101088
3 -0.0547956
3750 3
1 0.0408189
2 0.0100431
3 -0.0300819
3800 3
1 0.0144256
2 0.00189389
3 0.00986988
3850 3
1 0.0108346
2 -0.000486714
3 0.00659269
3900 3
1 0.0398437
2 0.00265339
3 -0.0396188
3950 3
1 0.0452914
2 0.00894051
3 -0.0579118
4000 3
1 0.0292507
2 0.0116294
3 -0.0457795
4050 3
1 -0.00295466
2 0.00408284
3 -0.00348395
4100 3
1 -0.00321933
2 0.000481849
3 -0.00221566
4150 3
1 0.0305656
2 0.000451488
3 -0.0390825
4200 3
1 0.0462747
2 0.00560579
3 -0.0582273
4250 3
1 0.0375597
2 0.00807723
3 -0.0479725
4300 3
1 0.00184145
2 0.00206907
3 -0.00301715
4350 3
1 -0.00361108
2 -0.000249535
3 -0.00113226
4400 3
1 0.0195169
2 0.0026843
3 -0.0355934
4450 3
1 0.0323005
2 0.0120042
3 -0.0617446
4500 3
1 0.0247128
2 0.0162392
3 -0.0554636
4550 3
1 -0.00858368
2 0.00863552
3 -0.00793569
4600 3
1 -0.0059537
2 0.000407945
3 -0.000618034
4650 3
1 0.0264101
2 -0.00441212
3 -0.0257473
4700 3
1 0.0516795
2 0.00229613
3 -0.0553976
4750 3
1 0.0457636
2 0.00773103
3 -0.052417
4800 3
1 -0.000953952
2 0.00927216
3 -0.0102817
4850 3
1 -0.0209591
2 0.0109049
3 -0.00643613
4900 3
1 -0.00485442
2 0.00949831
3 -0.0291811
4950 3
1 0.0252896
2 0.0145902
3 -0.0630456
5000 3
1 0.0322158
2 0.0146713
3 -0.058659
5050 3
1 0.00429556
2 0.00926583
3 -0.014334
5100 3
1 -0.00155636
2 0.00251972
3 -0.00211008
5150 3
1 0.0147358
2 -0.00172847
3 -0.0185587
5200 3
1 0.0410145
2 0.00583136
3 -0.0583061
5250 3
1 0.0386544
2 0.0105187
3 -0.0588858
5300 3
1 0.00169877
2 0.0108552
3 -0.0210121
5350 3
1 -0.0153672
2 0.00751813
3 -0.00717634
5400 3
1 -0.00987588
2 0.00642197
3 -0.0213453
5450 3
1 0.0198446
2 0.014281
3 -0.0632438
5500 3
1 0.0303436
2 0.0143223
3 -0.0606198
5550 3
1 0.0141954
2 0.00872344
3 -0.0201955
5600 3
1 0.00865133
2 -0.000902375
3 0.00406845
5650 3
1 0.0178029
2 -0.00503504
3 -0.00410281
5700 3
1 0.0452219
2 0.00425125
3 -0.0503687
5750 3
1 0.0382914
2 0.0108628
3 -0.0589778
5800 3
1 0.00263328
2 0.0145456
3 -0.0340708
5850 3
1 -0.0163601
2 0.00751746
3 -0.0091735
5900 3
1 -0.0072211
2 0.00240534
3 -0.0121355
5950 3
1 0.0316521
2 0.0075881
3 -0.0514111
6000 3
1 0.0388742
2 0.0110067
3 -0.0549032
6050 3
1 0.0148546
2 0.0132719
3 -0.029999
6100 3
1 -0.00534251
2 0.00378897
3 0.000857456
6150 3
1 -0.00235456
2 -0.000600582
3 -0.00310025
6200 3
1 0.0318063
2 0.00328491
3 -0.0461779
6250 3
1 0.0364986
2 0.00888369
3 -0.0564419
6300 3
1 0.0151708
2 0.0135758
3 -0.0379492
6350 3
