# Time-averaged data for fix write_all_momentum
# TimeStep Number-of-rows
# Row c_all_momentum[*]
0 3
1 7.10543e-15
2 3.55271e-15
3 1.06581e-14
50 3
1 0.0111698
2 -0.00119592
3 -0.0115762
100 3
1 0.0456229
2 0.00426765
3 -0.0539016
150 3
1 0.0477086
2 0.00781864
3 -0.0555779
200 3
1 0.0150818
2 0.00567435
3 -0.0219503
250 3
1 -0.00161901
2 -0.000579152
3 6.35168e-05
300 3
1 0.00593601
2 -0.00208584
3 -0.00814851
350 3
1 0.0430624
2 0.00319614
3 -0.0522055
400 3
1 0.0468656
2 0.00705793
3 -0.0560153
450 3
1 0.0193069
2 0.00562266
3 -0.0277554
500 3
1 -0.000844403
2 -0.000759911
3 -0.00109133
550 3
1 0.00387135
2 -0.00246617
3 -0.0065981
600 3
1 0.0425896
2 0.00298256
3 -0.0506984
650 3
1 0.0479756
2 0.0072333
3 -0.0570599
700 3
1 0.0245245
2 0.00655485
3 -0.0330201
750 3
1 -0.000100913
2 0.000133342
3 -0.00139047
800 3
1 0.00230047
2 -0.00163505
3 -0.00492323
850 3
1 0.0415522
2 0.00296653
3 -0.0483066
900 3
1 0.0492633
2 0.00743122
3 -0.0579339
950 3
1 0.0307835
2 0.00696467
3 -0.0386944
1000 3
1 0.00291333
2 0.000636712
3 -0.00285799
1050 3
1 0.00367684
2 -0.00142959
3 -0.00465676
1100 3
1 0.0421132
2 0.00259096
3 -0.0454146
1150 3
1 0.0531657
2 0.00739928
3 -0.0585564
1200 3
1 0.039001
2 0.00707147
3 -0.0431519
1250 3
1 0.006456
2 0.000432782
3 -0.00257051
1300 3
1 0.0038329
2 -0.00130052
3 -0.00282883
1350 3
1 0.0357312
2 0.00283113
3 -0.0407683
1400 3
1 0.0460699
2 0.010178
3 -0.0592722
1450 3
1 0.0335906
2 0.0115436
3 -0.0483997
1500 3
1 0.000925837
2 0.00417386
3 -0.00530259
1550 3
1 0.00439084
2 -0.00257811
3 -0.00179842
1600 3
1 0.042536
2 -0.0042334
3 -0.0330752
1650 3
1 0.0620157
2 0.00091807
3 -0.0548084
1700 3
1 0.0517775
2 0.00368558
3 -0.0474783
1750 3
1 0.00798342
2 0.00240778
3 -0.00532928
1800 3
1 -0.0026337
2 0.00274568
3 -0.00329002
1850 3
1 0.0226076
2 0.00398626
3 -0.0321542
1900 3
1 0.0450282
2 0.00862072
3 -0.0585173
1950 3
1 0.0438152
2 0.00717351
3 -0.0516831
2000 3
1 0.00989171
2 -0.00197236
3 -0.0058334
2050 3
1 0.00622092
2 -0.00906192
3 0.00165808
2100 3
1 0.0289571
2 -0.00977258
3 -0.0219092
2150 3
1 0.0516156
2 -0.000680968
3 -0.0544007
2200 3
1 0.0430757
2 0.00862172
3 -0.0536898
2250 3
1 -0.00407064
2 0.0151725
3 -0.0148405
2300 3
1 -0.0168215
2 0.0151283
3 -0.00723099
2350 3
1 0.00561633
2 0.0092744
3 -0.0252764
2400 3
1 0.0462501
2 0.00400819
3 -0.0570022
2450 3
1 0.0543712
2 -0.00186869
3 -0.0527479
2500 3
1 0.0204378
2 -0.00632504
3 -0.0111522
2550 3
1 0.00758131
2 -0.00949814
3 0.000772322
2600 3
1 0.0170073
2 -0.00572842
3 -0.0160262
2650 3
1 0.0442171
2 0.00680022
3 -0.0570512
2700 3
1 0.042332
2 0.0124385
3 -0.0583265
2750 3
1 0.00805103
2 0.0114049
3 -0.0211301
2800 3
1 -0.00175521
2 0.00298111
3 -0.00251755
2850 3
1 0.0196918
2 -0.00382486
3 -0.00893836
2900 3
1 0.0634569
2 0.0001505
3 -0.0477729
2950 3
1 0.0661299
2 0.0036456
3 -0.04957
3000 3
1 0.0278335
2 0.00523238
3 -0.0199081
3050 3
1 0.000801122
2 0.00169534
3 -0.00180201
3100 3
1 0.00278541
2 0.00159727
3 -0.011146
3150 3
1 0.0384417
2 0.00814096
3 -0.0556583
3200 3
1 0.0445829
2 0.0111951
3 -0.0588635
3250 3
1 0.0208849
2 0.00831746
3 -0.0291736
3300 3
1 0.00364739
2 -0.00089975
3 0.00046275
3350 3
1 0.0117607
2 -0.00479331
3 -0.00240816
3400 3
1 0.0514576
2 0.000394314
3 -0.0452917
3450 3
1 0.0541179
2 0.00595941
3 -0.0536304
3500 3
1 0.0208238
2 0.0100745
3 -0.0365729
3550 3
1 -0.0138037
2 0.00613841
3 -0.00887608
3600 3
1 -0.0146213
2 0.00434828
3 -0.0130943
3650 3
1 0.0292721
2 0.00788409
3 -0.052217
3700 3
1 0.0491196
2 0.0101997
3 -0.0547804
3750 3
1 0.0408036
2 0.0101357
3 -0.0300774
3800 3
1 0.0144121
2 0.00196843
3 0.00987557
3850 3
1 0.010817
2 -0.000417874
3 0.00661094
3900 3
1 0.0398264
2 0.00273114
3 -0.0395807
3950 3
1 0.0452678
2 0.00901602
3 -0.057857
4000 3
1 0.0292106
2 0.0117094
3 -0.0457214
4050 3
1 -0.00300258
2 0.0041536
3 -0.0034327
4100 3
1 -0.0032606
2 0.000547554
3 -0.00216956
4150 3
1 0.0305663
2 0.000523844
3 -0.0390264
4200 3
1 0.0462995
2 0.00568828
3 -0.0581646
4250 3
1 0.0375793
2 0.00819299
3 -0.0479096
4300 3
1 0.0018392
2 0.00219887
3 -0.00296708
4350 3
1 -0.0036359
2 -0.000123948
3 -0.001073
4400 3
1 0.0194815
2 0.00279227
3 -0.0355295
4450 3
1 0.0322304
2 0.0121135
3 -0.0616548
4500 3
1 0.0246252
2 0.0163566
3 -0.0553623
4550 3
1 -0.00863729
2 0.00876592
3 -0.0079247
4600 3
1 -0.00588466
2 0.000589484
3 -0.000683786
4650 3
1 0.0266224
2 -0.00416217
3 -0.0258775
4700 3
1 0.0519714
2 0.0026044
3 -0.0554924
4750 3
1 0.0460239
2 0.00804834
3 -0.0524887
4800 3
1 -0.000867051
2 0.00951804
3 -0.0103622
4850 3
1 -0.0209826
2 0.0110098
3 -0.00656821
4900 3
1 -0.00492152
2 0.00953089
3 -0.0293341
4950 3
1 0.0252295
2 0.0146539
3 -0.0631006
5000 3
1 0.0321387
2 0.0148492
3 -0.0586424
5050 3
1 0.0042596
2 0.00955968
3 -0.0143275
5100 3
1 -0.00157999
2 0.00285103
3 -0.00216032
5150 3
1 0.0147158
2 -0.00148983
3 -0.0186675
5200 3
1 0.0409691
2 0.00593799
3 -0.0583765
5250 3
1 0.038595
2 0.0106118
3 -0.0589625
5300 3
1 0.00165628
2 0.0109852
3 -0.0211387
5350 3
1 -0.015399
2 0.00768744
3 -0.00747017
5400 3
1 -0.00988581
2 0.00650277
3 -0.021721
5450 3
1 0.0198468
2 0.014253
3 -0.0636132
5500 3
1 0.0302599
2 0.0142362
3 -0.0609438
5550 3
1 0.0138402
2 0.00856673
3 -0.0206867
5600 3
1 0.00810494
2 -0.00111806
3 0.00336809
5650 3
1 0.0172391
2 -0.00532825
3 -0.00486408
5700 3
1 0.0447923
2 0.00401248
3 -0.0508891
5750 3
1 0.0382378
2 0.0108667
3 -0.0593706
5800 3
1 0.00291277
2 0.0149266
3 -0.0345087
5850 3
1 -0.0159255
2 0.00803624
3 -0.00993797
5900 3
1 -0.00702715
2 0.0028375
3 -0.013017
5950 3
1 0.0311755
2 0.00781584
3 -0.0520851
6000 3
1 0.0378571
2 0.0110899
3 -0.0555043
6050 3
1 0.0134837
2 0.013478
3 -0.0307161
6100 3
1 -0.00660259
2 0.00408376
3 -0.000349961
6150 3
1 -0.00328626
2 -0.000247797
3 -0.00437756
6200 3
1 0.0309474
2 0.00371619
3 -0.0471486
6250 3
1 0.0356731
2 0.00926305
3 -0.0572346
6300 3
1 0.014266
2 0.0141665
3 -0.0386776
6350 3
