# Time-averaged data for fix write_all_momentum
# TimeStep Number-of-rows
# Row c_all_momentum[*]
0 3
1 -1.42109e-14
2 2.93099e-14
3 -1.24345e-14
50 3
1 -1.32498e-07
2 8.57714e-08
3 -1.16769e-07
100 3
1 -2.5452e-06
2 1.44238e-06
3 -2.58874e-06
150 3
1 -1.7011e-05
2 9.18765e-06
3 -1.48731e-05
200 3
1 -6.75033e-05
2 3.20948e-05
3 -5.22471e-05
250 3
1 -0.000166744
2 6.59991e-05
3 -0.000122829
300 3
1 -0.000258123
2 9.18149e-05
3 -0.000181839
350 3
1 -0.000224322
2 8.50001e-05
3 -0.000160071
400 3
1 2.63031e-05
2 3.34805e-05
3 -7.50536e-06
450 3
1 0.000493828
2 -5.87937e-05
3 0.000267873
500 3
1 0.00101797
2 -0.000155833
3 0.000570973
550 3
1 0.00127883
2 -0.000212585
3 0.000725274
600 3
1 0.000899424
2 -0.000117463
3 0.000516029
650 3
1 -0.000404869
2 0.000246166
3 -0.000199336
700 3
1 -0.00251359
2 0.000840344
3 -0.00128439
750 3
1 -0.00452979
2 0.00137127
3 -0.00227103
800 3
1 -0.0049489
2 0.0014764
3 -0.00247805
850 3
1 -0.00233604
2 0.00106191
3 -0.00117402
900 3
1 0.00335442
2 0.000525106
3 0.0017806
950 3
1 0.00919855
2 0.000198023
3 0.00488893
1000 3
1 0.0115865
2 0.0001293
3 0.00614404
1050 3
1 0.00824535
2 4.94085e-05
3 0.00439185
1100 3
1 -0.00201742
2 -0.000454032
3 -0.000911107
1150 3
1 -0.0112368
2 -0.00118681
3 -0.00570683
1200 3
1 -0.0124569
2 -0.00130479
3 -0.00634919
1250 3
1 -0.0084056
2 -0.00102622
3 -0.00426866
1300 3
1 -0.00272053
2 -0.000740366
3 -0.00122846
1350 3
1 0.00177025
2 -0.000627354
3 0.00126379
1400 3
1 0.00403987
2 -0.000610333
3 0.00253265
1450 3
1 0.00401134
2 -0.000601004
3 0.00251518
1500 3
1 0.00186284
2 -0.000446106
3 0.0013155
1550 3
1 -0.00225338
2 -5.64964e-05
3 -0.00101845
1600 3
1 -0.00934204
2 0.000845413
3 -0.00509259
1650 3
1 -0.0213332
2 0.00265659
3 -0.0119882
1700 3
1 -0.0297774
2 0.00413235
3 -0.0168296
1750 3
1 -0.0236018
2 0.00280001
3 -0.0134762
1800 3
1 -0.00510767
2 -0.00132448
3 -0.00399263
1850 3
1 0.00531134
2 -0.00372244
3 0.000948093
1900 3
1 0.00815641
2 -0.00437779
3 0.0022164
1950 3
1 0.00668429
2 -0.00404885
3 0.00158904
2000 3
1 0.00186837
2 -0.00299684
3 -0.000486181
2050 3
1 -0.00460589
2 -0.00152747
3 -0.00337144
2100 3
1 -0.00978641
2 -0.000240959
3 -0.00578586
2150 3
1 -0.0112212
2 0.000138798
3 -0.00647706
2200 3
1 -0.00661148
2 -0.00136957
3 -0.00434426
2250 3
1 0.00496927
2 -0.00553504
3 0.000764641
2300 3
1 0.0132979
2 -0.00893067
3 0.0041447
2350 3
1 0.0133513
2 -0.00893014
3 0.00417568
2400 3
1 0.00796468
2 -0.00616423
3 0.00231013
2450 3
1 0.0017269
2 -0.0027166
3 0.000331088
2500 3
1 -0.00160972
2 -0.000728554
3 -0.000677196
2550 3
1 -0.00253904
2 -0.000114855
3 -0.000956499
2600 3
1 -0.0021541
2 -0.000418202
3 -0.000827215
2650 3
1 -0.00104549
2 -0.00145522
3 -0.000401884
2700 3
1 0.000374696
2 -0.00302443
3 0.000232617
2750 3
1 0.00178793
2 -0.00486431
3 0.00092629
2800 3
1 0.00307382
2 -0.0066876
3 0.00152593
2850 3
1 0.00341216
2 -0.00718394
3 0.00167139
2900 3
1 0.00127308
2 -0.00423058
3 0.00122999
2950 3
1 -0.0033411
2 0.0016784
3 0.000826906
3000 3
1 -0.00752821
2 0.00649134
3 0.000921454
3050 3
1 -0.00865128
2 0.00766991
3 0.00103364
3100 3
1 -0.00554089
